5E-4	2,8E-4
0,002	0,00112
0,003	0,00166
0,004	0,00219
0,005	0,00271
0,006	0,00322
0,007	0,00372
0,008	0,0042
0,009	0,00468
0,01	0,00513
0,02	0,00753
0,03	0,00116
0,04	8,4E-4
0,05	8E-4
0,06	8E-4
0,08	7,2E-4
0,1	6,7E-4
0,12	7E-4
0,14	6,3E-4
0,16	6,4E-4
0,2	5,9E-4
0,24	5,9E-4
0,28	5,7E-4
0,32	5,7E-4
0,36	5,5E-4
0,4	5,5E-4
0,48	-0,01063
0,48	-0,01972
0,52	-0,01354
0,56	-0,0174
0,6	-0,01688
0,64	-0,013
0,68	-0,01839
0,72	-0,04036
0,76	-0,05935
0,8	-0,06393
0,84	-0,07046
0,87999	-0,07756
0,9	-0,08464
0,91999	-0,08948
0,94	-0,0944
0,96	-0,10101
0,98	-0,10895
1	-0,11906
1,02	-1,16152
1,04	-0,99677
1,06	-0,79793
1,08	-0,56562
1,09	-0,4431
1,1	-0,31753
1,11	-0,19986
1,12	-0,09489
1,13	-0,04199
1,14	-0,03884
1,15	-0,0574
1,16	-0,06389
1,17	0,02475
1,175	0,1039
1,18	0,17974
1,19	0,41019
1,2	0,67471
1,21	0,97021
