50,8
51,2
53
51,2
53,4
54,1
51,7
53,7
52,3
53,1
51,9
53,3
51,4
50,1
53,6
53,8
54,6
55,4
51,2
52,5
51
54,8
52,9
52,7
54,5
53,4
54,5
53,1
54
53,8
53,5
54,5
53,8
55,3
52
52,5
53,6
51,5
52,6
51,3
51,3
51,4
51
52,4
54,6
54,9
51,1
52,4
52,1
52,2
53,6
53,9
52,7
52,4
50,9
49,2
48,2
52,8
49,9
51,3
49,5
50,7
54,1
52
52,1
51,9
51
50,9
49,9
51,9
52,2
49,5
48,5
52,4
52,1
50,6
53,7
51,9
52,1
52,2
51,4
53,6
51,8
53,1
54
53
54,6
54
52,8
54
52,9
55,3
52,9
51,3
53
51,6
52,6
54,4
51,8
50,8
52,5
51,2
50,7
51,7
51,3
50,1
52,1
52,7
49,7
52,2
50,9
52,7
51,9
51,2
50
52,8
52
51,1
48,7
50,1
52,4
53,3
54,8
50,2
52,1
51,4
49,7
50,9
52,2
50,2
53,6
50,9
52,6
51,3
52,1
52,4
51,6
49,3
50,8
50,2
52,1
51,1
51,2
50,9
50,3
51,7
51,5
53,1
51,8
49
50,9
52,5
52,2
50,4
52,5
50,1
51,5
50,5
53,1
52,4
51,8
51,4
49,3
51
50,7
51,5
52,7
49,8
50,7
50,7
51
52,4
52,5
51,7
52,9
52,7
54,1
51,6
52,7
50,5
54,1
50,3
51,3
52,8
53,6
54,4
54,4
52,3
51,5
53
49,9
53,6
53,1
51,1
52,3
50,7
50,7
50
50,8
53,7
50,4
51,7
51,5
50,1
49,2
50,5
48,4
50,1
50,2
50,7
50,4
50
48,2
49,7
48
49,9
50,1
48,2
50,8
49,1
49,4
49,7
51
51,2
51,5
53
51,1
50,7
48,8
52,9
49,8
50,7
50,9
51,9
51,3
50,5
51
51,3
50,3
49,1
52,2
53,1
50,6
54
49,2
50,7
52,3
52,1
50,4
50,6
48,6
48,9
51,5
52,3
52,1
49,1
49,6
50,4
49,3
49,6
51,5
48,5
49,9
49
48,4
51,7
48,3
47,6
48,4
49,9
49,6
51,3
50,4
52,2
49
48,5
51,4
50,9
51,8
51
52,3
50,1
51,3
50,8
56
51,6
50,9
50,8
50,8
48,7
53,1
50
49,6
50,5
52,2
51,8
49,9
52,5
50,6
51,6
51
49,8
50,5
49,7
51,6
50,3
50,4
50,7
49,5
48,3
49,8
50,2
50,5
49
49,2
46,3
49,6
50,1
48,7
45,6
46,5
48,3
48,5
48,4
49,8
47,5
50,1
50,6
48,5
50,2
51,1
50,7
51
53,2
52,4
53,7
49,8
50,9
51,7
49,1
53,1
51,5
49,6
50,8
51,5
50
53,7
54,9
50,8
53,8
52,8
52,1
53,5
53,1
51,6
52,3
52,2
51,8
50,1
49,9
52,1
50,1
52,8
52,4
47,7
52,6
50,8
49,7
49,6
50,1
52,2
52,6
50,1
51,4
51,8
50,3
51,7
49,3
55,1
51,5
51,7
50,8
53,3
52,2
50,6
48,8
51,7
50,2
52,1
51,3
52,3
52
51,2
51,7
51,8
51,5
51,6
51,3
52
53,2
53,9
52,3
52,1
51,4
52,3
53,2
52,2
52,8
52,4
53,1
50,7
51,2
50,8
52,3
52,9
51,3
51,7
52
55,1
54,5
51,5
52
52,1
50,6
54
52,5
52,1
50,6
50,8
50,8
54,1
50,6
51,3
49,1
53
50,7
50,7
51,2
51,2
53,4
52,5
49,7
48,8
53,2
51,7
51,7
49,9
50,2
51,4
49,7
50,3
52,7
51
52,1
53,1
53,9
52
52,9
51,8
52,3
51,5
52,9
50
51
52
54
52,5
52,8
49,2
52,7
51,3
51,7
50,8
50,9
51
50,9
51,7
53
51,7
50,3
50,5
52,8
51,1
50
48,3
51,7
50,3
49,6
50,5
51,5
52
52,4
53,2
49,7
52,1
51,5
51,7
49,9
52,7
52,8
52
49,1
55
53,1
51,7
53,5
53,4
51,8
49,8
52,9
50,3
51,3
51,4
52,7
52,1
50,4
51,2
53,4
51,2
53
52,1
50,5
49,1
50,8
53,5
53,2
51
52,3
50,5
51,9
50,6
50,4
49,4
49,3
52,6
50,6
51,2
51
51,2
48,8
48,8
51,9
50,4
53,3
50,9
51,1
51,5
53,1
50,8
51,3
53
51,3
53,2
51,6
52,4
53,7
52,2
52,6
51,4
52,1
53,1
49,2
50,6
49,5
50,9
50,7
51,7
51,9
53,1
51,6
51
51,4
53,2
54
51,4
52,4
53,4
53,2
56,1
52,5
53,5
54,2
53,5
52,4
53,4
54,4
53,4
50,8
51,8
51,8
52,7
53,7
51
51,3
51,8
51,9
52,1
51,3
53,3
52
52,5
